instance,count,sign,main_group,layer,frac_fb,frac_lat,frac_ff,VIC,cluster,size,r2
LoVP1_R,27,-1,OL output,2.0103457309245805,0.19216522545112086,0.5801414582203874,0.22769331632849169,0.13022077,7.0,11.035983986954806,-0.10035480137324027
LoVP20_R,1,1,OL output,2.931301522722485,0.0,0.17842876165113183,0.8215712383488681,0.053750988,8.0,47.88388842386546,0.35340943762394095
LoVP21_R,2,1,OL output,2.5848244031985272,0.0,0.08726890756302523,0.9127310924369748,0.056354925,7.0,39.30051789837026,-0.5186883924027655
LoVP22_R,2,1,OL output,2.942079803279998,0.006814433504922784,0.2884277075316108,0.7047578589634664,0.026368555,6.0,65.15827166485116,0.35541482659724805
LoVP23_R,3,1,OL output,2.7584105208915863,0.011124845488257106,0.2200247218788628,0.7688504326328801,0.068209946,6.0,28.959940403872764,-0.8336304128830823
LoVP24_R,4,1,OL output,2.917881905475135,0.0007344883755367984,0.21366440287325075,0.7856011087512125,0.036729924,6.0,38.638132764507795,0.04854886043755957
LoVP25_R,3,1,OL output,2.6951919540068507,0.00299850612703121,0.15116990159806748,0.8458315922749013,0.05886291,8.0,18.431600614543232,0.1067573258229314
LoVP26_R,6,1,OL output,2.698947066098528,0.0009496676163342828,0.06769268905880495,0.9313576433248607,0.076231204,6.0,15.246375633796067,0.05152901143406502
LoVP27_R,5,1,OL output,2.828610637365286,0.03254437869822485,0.4349112426035503,0.5325443786982249,0.050257675,6.0,32.87919032326275,0.5315306053875044
LoVP28_R,1,1,OL output,2.593485040098484,0.0036576444769568406,0.2765179224579371,0.7198244330651061,0.06669363,6.0,53.489721885478666,0.20276926502752757
LoVP29_R,1,-1,OL output,2.5525015111992406,0.008327994875080076,0.15246636771300448,0.8392056374119155,0.073149994,7.0,49.24007024324107,-0.5051987607350343
LoVP2_R,23,-1,OL output,2.1759728595557566,0.06434641845406719,0.5723998381222177,0.3632537434237151,0.11427528,7.0,14.255212029319257,0.3205791552841505
LoVP30_R,1,-1,OL output,2.543507069743693,0.004058441558441558,0.04301948051948052,0.952922077922078,0.0866477,6.0,41.187758820207854,0.3776080214110774
LoVP31_R,1,1,OL output,2.8933878430656064,0.08207485226526592,0.23177938279711097,0.6861457649376231,0.02801442,6.0,60.92253166457072,0.028118620630852242
